# Time(s) Distance(km)
5.220297758256801753e+05 6.098763056577020884e+08
5.238298785009411513e+05 6.099095474142130613e+08
5.256299811762020690e+05 6.099427829095957279e+08
5.274300838514630450e+05 6.099760121368379593e+08
5.292301865267240210e+05 6.100092350889242887e+08
5.310302892019849969e+05 6.100424517588341236e+08
5.328303918772459729e+05 6.100756621395436525e+08
5.346304945525069488e+05 6.101088662240245342e+08
5.364305972277679248e+05 6.101420640052442551e+08
5.382306999030289007e+05 6.101752554761662483e+08
5.400308025782898767e+05 6.102084406297501326e+08
5.418309052535508526e+05 6.102416194589508772e+08
5.436310079288118286e+05 6.102747919567193985e+08
5.454311106040728046e+05 6.103079581160026789e+08
5.472312132793336641e+05 6.103411179297436476e+08
5.490313159545946401e+05 6.103742713908801079e+08
5.508314186298556160e+05 6.104074184923470020e+08
5.526315213051165920e+05 6.104405592270740271e+08
5.544316239803775679e+05 6.104736935879873037e+08
5.562317266556385439e+05 6.105068215680085421e+08
5.580318293308995198e+05 6.105399431600552797e+08
5.598319320061604958e+05 6.105730583570408821e+08
5.616320346814214718e+05 6.106061671518743038e+08
5.634321373566824477e+05 6.106392695374605656e+08
5.652322400319434237e+05 6.106723655067005157e+08
5.670323427072043996e+05 6.107054550524903536e+08
5.688324453824652592e+05 6.107385381677229404e+08
5.706325480577262351e+05 6.107716148452860117e+08
5.724326507329872111e+05 6.108046850780637264e+08
5.742327534082481870e+05 6.108377488589359522e+08
5.760328560835091630e+05 6.108708061807782650e+08
5.778329587587701390e+05 6.109038570364619493e+08
5.796330614340311149e+05 6.109369014188547134e+08
5.814331641092920909e+05 6.109699393208194971e+08
5.832332667845530668e+05 6.110029707352154255e+08
5.850333694598140428e+05 6.110359956548973322e+08
5.868334721350750187e+05 6.110690140727161169e+08
5.886335748103359947e+05 6.111020259815185070e+08
5.904336774855968542e+05 6.111350313741471767e+08
5.922337801608578302e+05 6.111680302434407473e+08
5.940338828361188062e+05 6.112010225822334290e+08
5.958339855113797821e+05 6.112340083833562136e+08
5.976340881866407581e+05 6.112669876396352053e+08
5.994341908619017340e+05 6.112999603438931704e+08
6.012342935371627100e+05 6.113329264889485836e+08
6.030343962124236859e+05 6.113658860676157475e+08
6.048344988876846619e+05 6.113988390727056265e+08
6.066346015629456379e+05 6.114317854970248938e+08
6.084347042382066138e+05 6.114647253333762884e+08
6.102348069134675898e+05 6.114976585745592117e+08
6.120349095887284493e+05 6.115305852133684158e+08
6.138350122639894253e+05 6.115635052425955534e+08
6.156351149392504012e+05 6.115964186550282240e+08
6.174352176145113772e+05 6.116293254434504509e+08
6.192353202897723531e+05 6.116622256006422043e+08
6.210354229650333291e+05 6.116951191193803549e+08
6.228355256402943050e+05 6.117280059924374819e+08
6.246356283155552810e+05 6.117608862125830650e+08
6.264357309908162570e+05 6.117937597725830078e+08
6.282358336660772329e+05 6.118266266651993990e+08
6.300359363413382089e+05 6.118594868831909895e+08
6.318360390165991848e+05 6.118923404193130732e+08
6.336361416918600444e+05 6.119251872663177252e+08
6.354362443671210203e+05 6.119580274169532061e+08
6.372363470423819963e+05 6.119908608639652729e+08
6.390364497176429722e+05 6.120236876000955105e+08
6.408365523929039482e+05 6.120565076180827618e+08
6.426366550681649242e+05 6.120893209106627703e+08
6.444367577434259001e+05 6.121221274705678225e+08
6.462368604186868761e+05 6.121549272905273438e+08
6.480369630939478520e+05 6.121877203632677794e+08
6.498370657692088280e+05 6.122205066815127134e+08
6.516371684444698039e+05 6.122532862379826307e+08
6.534372711197307799e+05 6.122860590253950357e+08
6.552373737949916394e+05 6.123188250364649296e+08
6.570374764702526154e+05 6.123515842639044523e+08
6.588375791455135914e+05 6.123843367004231215e+08
6.606376818207745673e+05 6.124170823387277126e+08
6.624377844960355433e+05 6.124498211715224981e+08
6.642378871712965192e+05 6.124825531915093660e+08
6.660379898465574952e+05 6.125152783913875818e+08
6.678380925218184711e+05 6.125479967638545036e+08
6.696381951970794471e+05 6.125807083016046286e+08
6.714382978723404231e+05 6.126134129973303080e+08
6.732384005476013990e+05 6.126461108437222242e+08
6.750385032228623750e+05 6.126788018334686756e+08
6.768386058981232345e+05 6.127114859592560530e+08
6.786387085733842105e+05 6.127441632137684822e+08
6.804388112486451864e+05 6.127768335896885395e+08
6.822389139239061624e+05 6.128094970796968937e+08
6.840390165991671383e+05 6.128421536764730215e+08
6.858391192744281143e+05 6.128748033726938963e+08
6.876392219496890903e+05 6.129074461610356569e+08
6.894393246249500662e+05 6.129400820341726542e+08
6.912394273002110422e+05 6.129727109847778082e+08
6.930395299754720181e+05 6.130053330055233240e+08
6.948396326507329941e+05 6.130379480890794992e+08
6.966397353259938536e+05 6.130705562281159163e+08
6.984398380012548296e+05 6.131031574153009653e+08
